FormularioVB;CrystalRPT;StoredProcedure;TituloUsuario;SalidaPrincipal;DestinoSGUEES;Oleada;Esfuerzo;SPenSGUEES;Estado
BAN_REPO_ESTADO_CUENTA_ACUMULA;R_BAN_ESTADO_CUENTA_ACUMULADO.rpt;PRAL_IMPR_BAN_ESTADO_CUENTA_ACUMULADO;Disponibilidad Bancaria;Excel+PDF;B;1;L;NO;Pendiente
BAN_REPO_ESTADO_CUENTA;R_BAN_ESTADO_CUENTA.rpt;PRAL_IMPR_BAN_ESTADO_CUENTA;Disponibilidad Bancaria Auxiliar;Excel+PDF;B;1;L;NO;Pendiente
BAN_REPO_CHEQUE_EMITIDOS;R_BAN_CHEQUE_EMITIDOS.rpt;PRAL_IMPR_BAN_CHEQUE_EMITIDOS;Reporte de Cheques Emitidos;Excel+PDF;B;1;M;NO;Pendiente
BAN_REPO_ENTREGA_CHEQUES;R_BAN_ENTREGA_CHEQUES.rpt;PRAL_IMPR_BAN_ENTREGA_CHEQUES;Reporte de Cheques Entregados;Excel+PDF;B;1;M;NO;Pendiente
BAN_CONCILIA_BANCARIA;R_BAN_CONCILIACION_MOVI.rpt;PRAL_IMPR_BAN_CONCILIA_BANCARIA;Conciliación Bancaria (impresión);PDF;C;2;XL;NO;Pendiente
